,cc_timestamp,location,price,last4ccnum,date,category
0,2014-01-06 07:28:00,Brew've Been Served,11.34,4795,2014-01-06,Food and Beverage
1,2014-01-06 07:34:00,Hallowed Grounds,52.22,7108,2014-01-06,Food and Beverage
2,2014-01-06 07:35:00,Brew've Been Served,8.33,6816,2014-01-06,Food and Beverage
3,2014-01-06 07:36:00,Hallowed Grounds,16.72,9617,2014-01-06,Food and Beverage
4,2014-01-06 07:37:00,Brew've Been Served,4.24,7384,2014-01-06,Food and Beverage
5,2014-01-06 07:38:00,Brew've Been Served,4.17,5368,2014-01-06,Food and Beverage
6,2014-01-06 07:42:00,Coffee Cameleon,28.73,7253,2014-01-06,Food and Beverage
7,2014-01-06 07:43:00,Brew've Been Served,9.6,4948,2014-01-06,Food and Beverage
8,2014-01-06 07:43:00,Brew've Been Served,16.9,9683,2014-01-06,Food and Beverage
9,2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,2014-01-06,Food and Beverage
10,2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,2014-01-06,Food and Beverage
11,2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,2014-01-06,Food and Beverage
12,2014-01-06 07:52:00,Brew've Been Served,32.83,9405,2014-01-06,Food and Beverage
13,2014-01-06 07:54:00,Hallowed Grounds,16.88,7889,2014-01-06,Food and Beverage
14,2014-01-06 07:54:00,Coffee Cameleon,11.86,2142,2014-01-06,Food and Beverage
15,2014-01-06 07:54:00,Hallowed Grounds,32.93,2681,2014-01-06,Food and Beverage
16,2014-01-06 07:55:00,Hallowed Grounds,8.05,9551,2014-01-06,Food and Beverage
17,2014-01-06 07:55:00,Brew've Been Served,3.67,3484,2014-01-06,Food and Beverage
18,2014-01-06 07:59:00,Brew've Been Served,8.88,7819,2014-01-06,Food and Beverage
19,2014-01-06 08:00:00,Brew've Been Served,4.27,5407,2014-01-06,Food and Beverage
20,2014-01-06 08:00:00,Hallowed Grounds,9.69,6691,2014-01-06,Food and Beverage
21,2014-01-06 08:01:00,Hallowed Grounds,10.07,1874,2014-01-06,Food and Beverage
22,2014-01-06 08:06:00,Brew've Been Served,18.24,3853,2014-01-06,Food and Beverage
23,2014-01-06 08:06:00,Brew've Been Served,15.58,4434,2014-01-06,Food and Beverage
24,2014-01-06 08:07:00,Brew've Been Served,5.66,6901,2014-01-06,Food and Beverage
25,2014-01-06 08:14:00,Coffee Cameleon,3.2,2418,2014-01-06,Food and Beverage
26,2014-01-06 08:16:00,Brew've Been Served,14.97,1286,2014-01-06,Food and Beverage
27,2014-01-06 08:16:00,Brew've Been Served,11.2,8411,2014-01-06,Food and Beverage
28,2014-01-06 08:17:00,Brew've Been Served,15.39,8202,2014-01-06,Food and Beverage
29,2014-01-06 08:23:00,Abila Airport,4540.08,9220,2014-01-06,Transportation and Heavy Industry
30,2014-01-06 09:06:00,Kronos Pipe and Irrigation,242.21,9220,2014-01-06,Transportation and Heavy Industry
31,2014-01-06 10:02:00,Nationwide Refinery,761.64,9735,2014-01-06,Transportation and Heavy Industry
32,2014-01-06 10:18:00,Maximum Iron and Steel,2859.51,9220,2014-01-06,Transportation and Heavy Industry
33,2014-01-06 11:33:00,Stewart and Sons Fabrication,2144.62,9735,2014-01-06,Manufacturing and Construction
34,2014-01-06 11:57:00,Carlyle Chemical Inc.,3959.66,9220,2014-01-06,Retail and Services
35,2014-01-06 12:00:00,Coffee Shack,51.51,7117,2014-01-06,Food and Beverage
36,2014-01-06 12:00:00,Bean There Done That,10.28,1415,2014-01-06,Food and Beverage
37,2014-01-06 12:00:00,Bean There Done That,16.09,9635,2014-01-06,Food and Beverage
38,2014-01-06 12:00:00,Brewed Awakenings,5.72,7688,2014-01-06,Food and Beverage
39,2014-01-06 12:00:00,Jack's Magical Beans,11.03,6899,2014-01-06,Food and Beverage
40,2014-01-06 12:00:00,Brewed Awakenings,16.89,2540,2014-01-06,Food and Beverage
41,2014-01-06 12:00:00,Bean There Done That,8.54,1877,2014-01-06,Food and Beverage
42,2014-01-06 12:00:00,Brewed Awakenings,4.35,8332,2014-01-06,Food and Beverage
43,2014-01-06 12:00:00,Bean There Done That,5.24,1321,2014-01-06,Food and Beverage
44,2014-01-06 12:00:00,Bean There Done That,4.27,6895,2014-01-06,Food and Beverage
45,2014-01-06 12:00:00,Jack's Magical Beans,18.59,9241,2014-01-06,Food and Beverage
46,2014-01-06 12:00:00,Jack's Magical Beans,27.84,8156,2014-01-06,Food and Beverage
47,2014-01-06 12:00:00,Jack's Magical Beans,18.1,2463,2014-01-06,Food and Beverage
48,2014-01-06 12:16:00,Abila Airport,1873.79,8642,2014-01-06,Transportation and Heavy Industry
49,2014-01-06 12:56:00,Katerina’s Café,13.68,8332,2014-01-06,Food and Beverage
50,2014-01-06 12:57:00,Hippokampos,9.16,8156,2014-01-06,Leisure and Tourism
51,2014-01-06 13:18:00,Abila Zacharo,106.93,2418,2014-01-06,Leisure and Tourism
52,2014-01-06 13:19:00,Gelatogalore,12.74,7253,2014-01-06,Food and Beverage
53,2014-01-06 13:19:00,Kalami Kafenion,70.1,3484,2014-01-06,Food and Beverage
54,2014-01-06 13:20:00,Hippokampos,34.03,6691,2014-01-06,Leisure and Tourism
55,2014-01-06 13:21:00,Hippokampos,28.23,9551,2014-01-06,Leisure and Tourism
56,2014-01-06 13:22:00,Ouzeri Elian,38.9,2540,2014-01-06,Leisure and Tourism
57,2014-01-06 13:23:00,Hippokampos,13.26,4795,2014-01-06,Leisure and Tourism
58,2014-01-06 13:24:00,Guy's Gyros,15.44,1415,2014-01-06,Food and Beverage
59,2014-01-06 13:27:00,Abila Zacharo,30.08,7688,2014-01-06,Leisure and Tourism
60,2014-01-06 13:27:00,Abila Zacharo,50.14,1286,2014-01-06,Leisure and Tourism
61,2014-01-06 13:28:00,Katerina’s Café,33.54,8411,2014-01-06,Food and Beverage
62,2014-01-06 13:28:00,Kalami Kafenion,8.64,5407,2014-01-06,Food and Beverage
63,2014-01-06 13:30:00,Guy's Gyros,16.92,7384,2014-01-06,Food and Beverage
64,2014-01-06 13:35:00,Hippokampos,36.54,2681,2014-01-06,Leisure and Tourism
65,2014-01-06 13:35:00,Abila Zacharo,92.05,7354,2014-01-06,Leisure and Tourism
66,2014-01-06 13:37:00,Ouzeri Elian,20.56,6816,2014-01-06,Leisure and Tourism
67,2014-01-06 13:39:00,Guy's Gyros,11.22,1310,2014-01-06,Food and Beverage
68,2014-01-06 13:41:00,Gelatogalore,22.64,7889,2014-01-06,Food and Beverage
69,2014-01-06 13:42:00,Ouzeri Elian,20.4,6895,2014-01-06,Leisure and Tourism
70,2014-01-06 13:46:00,Guy's Gyros,30.82,9635,2014-01-06,Food and Beverage
71,2014-01-06 13:46:00,Katerina’s Café,18.56,6899,2014-01-06,Food and Beverage
72,2014-01-06 13:46:00,Guy's Gyros,99.67,2463,2014-01-06,Food and Beverage
73,2014-01-06 13:47:00,Kalami Kafenion,22.13,1321,2014-01-06,Food and Beverage
74,2014-01-06 13:48:00,Ouzeri Elian,20.74,5368,2014-01-06,Leisure and Tourism
75,2014-01-06 13:48:00,Ouzeri Elian,30.87,5921,2014-01-06,Leisure and Tourism
76,2014-01-06 13:50:00,Katerina’s Café,13.59,1874,2014-01-06,Food and Beverage
77,2014-01-06 13:50:00,Katerina’s Café,32.64,9617,2014-01-06,Food and Beverage
78,2014-01-06 13:52:00,Kalami Kafenion,22.31,4434,2014-01-06,Food and Beverage
79,2014-01-06 13:52:00,Gelatogalore,36.33,3492,2014-01-06,Food and Beverage
80,2014-01-06 13:53:00,Katerina’s Café,36.95,2142,2014-01-06,Food and Beverage
81,2014-01-06 13:54:00,Abila Zacharo,23.15,9405,2014-01-06,Leisure and Tourism
82,2014-01-06 13:57:00,Hippokampos,8.64,1877,2014-01-06,Leisure and Tourism
83,2014-01-06 13:58:00,Hippokampos,38.25,8202,2014-01-06,Leisure and Tourism
84,2014-01-06 13:59:00,Katerina’s Café,39.41,3853,2014-01-06,Food and Beverage
85,2014-01-06 14:00:00,Kalami Kafenion,13.08,7117,2014-01-06,Food and Beverage
86,2014-01-06 14:00:00,Gelatogalore,23.41,7819,2014-01-06,Food and Beverage
87,2014-01-06 14:04:00,Hippokampos,30.88,4948,2014-01-06,Leisure and Tourism
88,2014-01-06 14:05:00,Abila Zacharo,78.11,7108,2014-01-06,Leisure and Tourism
89,2014-01-06 14:15:00,Kalami Kafenion,27.4,8129,2014-01-06,Food and Beverage
90,2014-01-06 14:17:00,Katerina’s Café,19.65,6901,2014-01-06,Food and Beverage
91,2014-01-06 15:14:00,Abila Airport,777.06,9220,2014-01-06,Transportation and Heavy Industry
92,2014-01-06 15:39:00,Abila Airport,612.47,8642,2014-01-06,Transportation and Heavy Industry
93,2014-01-06 17:28:00,U-Pump,59.51,3484,2014-01-06,Transportation and Heavy Industry
94,2014-01-06 18:56:00,Katerina’s Café,78.65,8411,2014-01-06,Food and Beverage
95,2014-01-06 19:08:00,Katerina’s Café,26.46,8129,2014-01-06,Food and Beverage
96,2014-01-06 19:18:00,Guy's Gyros,39.29,7384,2014-01-06,Food and Beverage
97,2014-01-06 19:50:00,Frydos Autosupply n' More,273.87,9241,2014-01-06,Manufacturing and Construction
98,2014-01-06 20:07:00,Katerina’s Café,23.63,7253,2014-01-06,Food and Beverage
99,2014-01-06 20:08:00,Katerina’s Café,12.32,1874,2014-01-06,Food and Beverage
100,2014-01-06 20:09:00,Guy's Gyros,11.94,6901,2014-01-06,Food and Beverage
101,2014-01-06 20:12:00,Frydos Autosupply n' More,80.85,8202,2014-01-06,Manufacturing and Construction
102,2014-01-06 20:13:00,Guy's Gyros,22.57,3484,2014-01-06,Food and Beverage
103,2014-01-06 20:15:00,Guy's Gyros,117.82,6816,2014-01-06,Food and Beverage
104,2014-01-06 20:15:00,Frydos Autosupply n' More,175.87,5368,2014-01-06,Manufacturing and Construction
105,2014-01-06 20:19:00,Katerina’s Café,21.66,2418,2014-01-06,Food and Beverage
106,2014-01-06 20:20:00,Hippokampos,35.34,1321,2014-01-06,Leisure and Tourism
107,2014-01-06 20:24:00,Guy's Gyros,28.94,7819,2014-01-06,Food and Beverage
108,2014-01-06 20:26:00,Albert's Fine Clothing,276.9,9551,2014-01-06,Retail and Services
109,2014-01-06 20:28:00,Guy's Gyros,95.29,7108,2014-01-06,Food and Beverage
110,2014-01-06 20:29:00,Hippokampos,85.5,6895,2014-01-06,Leisure and Tourism
111,2014-01-06 20:29:00,Katerina’s Café,17.92,9405,2014-01-06,Food and Beverage
112,2014-01-06 20:30:00,Katerina’s Café,28.0,6691,2014-01-06,Food and Beverage
113,2014-01-06 20:33:00,Katerina’s Café,15.52,5921,2014-01-06,Food and Beverage
114,2014-01-06 20:36:00,Hippokampos,26.8,1877,2014-01-06,Leisure and Tourism
115,2014-01-06 20:46:00,Hippokampos,24.41,7117,2014-01-06,Leisure and Tourism
116,2014-01-06 20:46:00,Hippokampos,21.33,1415,2014-01-06,Leisure and Tourism
117,2014-01-06 20:47:00,Frydos Autosupply n' More,149.3,5407,2014-01-06,Manufacturing and Construction
118,2014-01-06 20:49:00,Shoppers' Delight,293.67,7354,2014-01-06,Retail and Services
119,2014-01-06 20:52:00,Hippokampos,17.27,7688,2014-01-06,Leisure and Tourism
120,2014-01-06 20:59:00,Katerina’s Café,26.1,3492,2014-01-06,Food and Beverage
121,2014-01-06 21:03:00,Katerina’s Café,10.72,9617,2014-01-06,Food and Beverage
122,2014-01-06 21:03:00,Albert's Fine Clothing,121.76,4434,2014-01-06,Retail and Services
123,2014-01-06 21:11:00,Hippokampos,28.14,8156,2014-01-06,Leisure and Tourism
124,2014-01-06 21:12:00,Katerina’s Café,26.51,4948,2014-01-06,Food and Beverage
125,2014-01-06 21:23:00,Frydos Autosupply n' More,197.32,2142,2014-01-06,Manufacturing and Construction
126,2014-01-06 21:32:00,Frydos Autosupply n' More,314.98,1310,2014-01-06,Manufacturing and Construction
127,2014-01-06 21:52:00,Hippokampos,20.61,8332,2014-01-06,Leisure and Tourism
128,2014-01-07 07:27:00,Brew've Been Served,5.08,7384,2014-01-07,Food and Beverage
129,2014-01-07 07:31:00,Brew've Been Served,12.74,5368,2014-01-07,Food and Beverage
130,2014-01-07 07:33:00,Brew've Been Served,7.09,4795,2014-01-07,Food and Beverage
131,2014-01-07 07:35:00,Hallowed Grounds,14.05,7889,2014-01-07,Food and Beverage
132,2014-01-07 07:37:00,Hallowed Grounds,8.91,8129,2014-01-07,Food and Beverage
133,2014-01-07 07:41:00,Hallowed Grounds,19.59,1874,2014-01-07,Food and Beverage
134,2014-01-07 07:45:00,Brew've Been Served,19.6,6816,2014-01-07,Food and Beverage
135,2014-01-07 07:46:00,Hallowed Grounds,84.44,9551,2014-01-07,Food and Beverage
136,2014-01-07 07:46:00,Coffee Cameleon,9.1,5921,2014-01-07,Food and Beverage
137,2014-01-07 07:47:00,Hallowed Grounds,7.88,1310,2014-01-07,Food and Beverage
138,2014-01-07 07:48:00,Hallowed Grounds,18.97,7108,2014-01-07,Food and Beverage
139,2014-01-07 07:49:00,Coffee Cameleon,27.66,7253,2014-01-07,Food and Beverage
140,2014-01-07 07:50:00,Brew've Been Served,4.39,5407,2014-01-07,Food and Beverage
141,2014-01-07 07:50:00,Hallowed Grounds,9.61,3492,2014-01-07,Food and Beverage
142,2014-01-07 07:52:00,Brew've Been Served,3.0,4434,2014-01-07,Food and Beverage
143,2014-01-07 07:54:00,Brew've Been Served,11.92,1286,2014-01-07,Food and Beverage
144,2014-01-07 07:55:00,Brew've Been Served,69.06,3484,2014-01-07,Food and Beverage
