,loyalty_timestamp,location,price,loyaltynum,date,category
0,01/06/2014,Brew've Been Served,4.17,L2247,2014-01-06,Food and Beverage
1,01/06/2014,Brew've Been Served,9.6,L9406,2014-01-06,Food and Beverage
2,01/06/2014,Hallowed Grounds,16.53,L8328,2014-01-06,Food and Beverage
3,01/06/2014,Coffee Shack,11.51,L6417,2014-01-06,Food and Beverage
4,01/06/2014,Hallowed Grounds,12.93,L1107,2014-01-06,Food and Beverage
5,01/06/2014,Brew've Been Served,4.27,L4034,2014-01-06,Food and Beverage
6,01/06/2014,Brew've Been Served,11.2,L6110,2014-01-06,Food and Beverage
7,01/06/2014,Brew've Been Served,15.39,L2343,2014-01-06,Food and Beverage
8,01/06/2014,Abila Zacharo,26.93,L9018,2014-01-06,Leisure and Tourism
9,01/06/2014,Hippokampos,34.03,L6267,2014-01-06,Leisure and Tourism
10,01/06/2014,Kalami Kafenion,8.64,L4034,2014-01-06,Food and Beverage
11,01/06/2014,Katerina’s Café,33.54,L6110,2014-01-06,Food and Beverage
12,01/06/2014,Hippokampos,36.54,L1107,2014-01-06,Leisure and Tourism
13,01/06/2014,Ouzeri Elian,20.74,L2247,2014-01-06,Leisure and Tourism
14,01/06/2014,Kalami Kafenion,13.08,L6417,2014-01-06,Food and Beverage
15,01/06/2014,Hippokampos,38.25,L2343,2014-01-06,Leisure and Tourism
16,01/06/2014,Hippokampos,30.88,L9406,2014-01-06,Leisure and Tourism
17,01/06/2014,Kalami Kafenion,27.4,L8328,2014-01-06,Food and Beverage
18,01/06/2014,Katerina’s Café,38.65,L6110,2014-01-06,Food and Beverage
19,01/06/2014,Katerina’s Café,26.46,L8328,2014-01-06,Food and Beverage
20,01/06/2014,Frydos Autosupply n' More,80.85,L2343,2014-01-06,Manufacturing and Construction
21,01/06/2014,Frydos Autosupply n' More,175.87,L2247,2014-01-06,Manufacturing and Construction
22,01/06/2014,Katerina’s Café,28.0,L6267,2014-01-06,Food and Beverage
23,01/06/2014,Hippokampos,24.41,L6417,2014-01-06,Leisure and Tourism
24,01/06/2014,Frydos Autosupply n' More,89.3,L4034,2014-01-06,Manufacturing and Construction
25,01/06/2014,Katerina’s Café,26.51,L9406,2014-01-06,Food and Beverage
26,01/07/2014,Brew've Been Served,12.74,L2247,2014-01-07,Food and Beverage
27,01/07/2014,Hallowed Grounds,8.91,L8328,2014-01-07,Food and Beverage
28,01/07/2014,Coffee Shack,16.63,L6417,2014-01-07,Food and Beverage
29,01/07/2014,Brew've Been Served,4.39,L4034,2014-01-07,Food and Beverage
30,01/07/2014,Brew've Been Served,11.91,L9406,2014-01-07,Food and Beverage
31,01/07/2014,Hallowed Grounds,8.42,L1107,2014-01-07,Food and Beverage
32,01/07/2014,Coffee Cameleon,12.44,L9018,2014-01-07,Food and Beverage
33,01/07/2014,Brew've Been Served,17.4,L2343,2014-01-07,Food and Beverage
34,01/07/2014,Hallowed Grounds,10.33,L6267,2014-01-07,Food and Beverage
35,01/07/2014,Brew've Been Served,15.66,L6110,2014-01-07,Food and Beverage
36,01/07/2014,Kalami Kafenion,11.64,L4034,2014-01-07,Food and Beverage
37,01/07/2014,Ouzeri Elian,28.37,L9406,2014-01-07,Leisure and Tourism
38,01/07/2014,Ouzeri Elian,17.71,L2247,2014-01-07,Leisure and Tourism
39,01/07/2014,Abila Zacharo,32.4,L9018,2014-01-07,Leisure and Tourism
40,01/07/2014,Gelatogalore,36.5,L1107,2014-01-07,Food and Beverage
41,01/07/2014,Ouzeri Elian,21.85,L6110,2014-01-07,Leisure and Tourism
42,01/07/2014,Katerina’s Café,37.44,L2343,2014-01-07,Food and Beverage
43,01/07/2014,Gelatogalore,15.4,L6267,2014-01-07,Food and Beverage
44,01/07/2014,Hippokampos,37.57,L8328,2014-01-07,Leisure and Tourism
45,01/07/2014,Albert's Fine Clothing,78.91,L6417,2014-01-07,Retail and Services
46,01/07/2014,Katerina’s Café,31.6,L6110,2014-01-07,Food and Beverage
47,01/07/2014,Katerina’s Café,25.02,L2343,2014-01-07,Food and Beverage
48,01/07/2014,Guy's Gyros,23.12,L2247,2014-01-07,Food and Beverage
49,01/07/2014,Katerina’s Café,25.54,L6267,2014-01-07,Food and Beverage
50,01/07/2014,Ouzeri Elian,20.53,L1107,2014-01-07,Leisure and Tourism
51,01/08/2014,Hallowed Grounds,5.85,L8328,2014-01-08,Food and Beverage
52,01/08/2014,Brew've Been Served,3.09,L9406,2014-01-08,Food and Beverage
53,01/08/2014,Hallowed Grounds,3.9,L1107,2014-01-08,Food and Beverage
54,01/08/2014,Coffee Shack,13.13,L6417,2014-01-08,Food and Beverage
55,01/08/2014,Brew've Been Served,14.88,L2247,2014-01-08,Food and Beverage
56,01/08/2014,Brew've Been Served,8.4,L4034,2014-01-08,Food and Beverage
57,01/08/2014,Brew've Been Served,3.92,L2343,2014-01-08,Food and Beverage
58,01/08/2014,Hallowed Grounds,11.63,L6267,2014-01-08,Food and Beverage
59,01/08/2014,Brew've Been Served,11.48,L6110,2014-01-08,Food and Beverage
60,01/08/2014,Coffee Cameleon,16.17,L9018,2014-01-08,Food and Beverage
61,01/08/2014,Abila Zacharo,22.13,L4034,2014-01-08,Leisure and Tourism
62,01/08/2014,Gelatogalore,32.79,L6110,2014-01-08,Food and Beverage
63,01/08/2014,Kalami Kafenion,18.18,L6267,2014-01-08,Food and Beverage
64,01/08/2014,Kalami Kafenion,22.49,L2343,2014-01-08,Food and Beverage
65,01/08/2014,Ouzeri Elian,24.92,L2247,2014-01-08,Leisure and Tourism
66,01/08/2014,Abila Zacharo,28.25,L1107,2014-01-08,Leisure and Tourism
67,01/08/2014,Gelatogalore,22.27,L9018,2014-01-08,Food and Beverage
68,01/08/2014,Kalami Kafenion,34.98,L6417,2014-01-08,Food and Beverage
69,01/08/2014,Gelatogalore,39.94,L9406,2014-01-08,Food and Beverage
70,01/08/2014,Kalami Kafenion,31.43,L8328,2014-01-08,Food and Beverage
71,01/08/2014,Katerina’s Café,34.25,L4034,2014-01-08,Food and Beverage
72,01/08/2014,Katerina’s Café,13.83,L6110,2014-01-08,Food and Beverage
73,01/08/2014,Frydos Autosupply n' More,214.07,L9018,2014-01-08,Manufacturing and Construction
74,01/08/2014,Frydos Autosupply n' More,268.89,L6267,2014-01-08,Manufacturing and Construction
75,01/08/2014,Hippokampos,16.75,L6417,2014-01-08,Leisure and Tourism
76,01/08/2014,Katerina’s Café,16.93,L2343,2014-01-08,Food and Beverage
77,01/09/2014,Hallowed Grounds,15.24,L8328,2014-01-09,Food and Beverage
78,01/09/2014,Coffee Shack,5.01,L6417,2014-01-09,Food and Beverage
79,01/09/2014,Brew've Been Served,18.25,L2343,2014-01-09,Food and Beverage
80,01/09/2014,Hallowed Grounds,16.72,L6267,2014-01-09,Food and Beverage
81,01/09/2014,Coffee Cameleon,4.88,L9018,2014-01-09,Food and Beverage
82,01/09/2014,Hallowed Grounds,15.33,L1107,2014-01-09,Food and Beverage
83,01/09/2014,Gelatogalore,19.2,L4034,2014-01-09,Food and Beverage
84,01/09/2014,Hippokampos,27.47,L9018,2014-01-09,Leisure and Tourism
85,01/09/2014,Gelatogalore,23.23,L6110,2014-01-09,Food and Beverage
86,01/09/2014,Hippokampos,19.22,L2247,2014-01-09,Leisure and Tourism
87,01/09/2014,Gelatogalore,24.68,L1107,2014-01-09,Food and Beverage
88,01/09/2014,Kalami Kafenion,19.84,L9406,2014-01-09,Food and Beverage
89,01/09/2014,Kalami Kafenion,10.94,L8328,2014-01-09,Food and Beverage
90,01/09/2014,Kalami Kafenion,35.99,L6267,2014-01-09,Food and Beverage
91,01/09/2014,Guy's Gyros,27.69,L2343,2014-01-09,Food and Beverage
92,01/09/2014,Gelatogalore,36.75,L6417,2014-01-09,Food and Beverage
93,01/09/2014,Katerina’s Café,35.92,L8328,2014-01-09,Food and Beverage
94,01/09/2014,Katerina’s Café,26.6,L9406,2014-01-09,Food and Beverage
95,01/09/2014,Katerina’s Café,30.97,L6267,2014-01-09,Food and Beverage
96,01/09/2014,Katerina’s Café,29.82,L2343,2014-01-09,Food and Beverage
97,01/09/2014,Albert's Fine Clothing,224.52,L6417,2014-01-09,Retail and Services
98,01/09/2014,Katerina’s Café,13.78,L4034,2014-01-09,Food and Beverage
99,01/09/2014,Guy's Gyros,8.23,L2247,2014-01-09,Food and Beverage
100,01/09/2014,Shoppers' Delight,258.43,L1107,2014-01-09,Retail and Services
101,01/10/2014,Hallowed Grounds,16.75,L8328,2014-01-10,Food and Beverage
102,01/10/2014,Brew've Been Served,4.88,L9406,2014-01-10,Food and Beverage
103,01/10/2014,Hallowed Grounds,17.63,L1107,2014-01-10,Food and Beverage
104,01/10/2014,Coffee Cameleon,9.69,L9018,2014-01-10,Food and Beverage
105,01/10/2014,Brew've Been Served,5.91,L2247,2014-01-10,Food and Beverage
106,01/10/2014,Hallowed Grounds,9.34,L6267,2014-01-10,Food and Beverage
107,01/10/2014,Brew've Been Served,14.36,L6110,2014-01-10,Food and Beverage
108,01/10/2014,Katerina’s Café,21.22,L9018,2014-01-10,Food and Beverage
109,01/10/2014,Abila Zacharo,31.34,L1107,2014-01-10,Leisure and Tourism
110,01/10/2014,Kalami Kafenion,27.48,L4034,2014-01-10,Food and Beverage
111,01/10/2014,Guy's Gyros,38.15,L6110,2014-01-10,Food and Beverage
112,01/10/2014,Ouzeri Elian,24.74,L2247,2014-01-10,Leisure and Tourism
113,01/10/2014,Guy's Gyros,16.34,L8328,2014-01-10,Food and Beverage
114,01/10/2014,Abila Zacharo,9.32,L6267,2014-01-10,Leisure and Tourism
115,01/10/2014,Gelatogalore,32.19,L2343,2014-01-10,Food and Beverage
116,01/10/2014,Hippokampos,19.88,L6417,2014-01-10,Leisure and Tourism
117,01/10/2014,Frydos Autosupply n' More,43.65,L2343,2014-01-10,Manufacturing and Construction
118,01/10/2014,Katerina’s Café,8.14,L6110,2014-01-10,Food and Beverage
119,01/10/2014,Katerina’s Café,21.28,L4034,2014-01-10,Food and Beverage
120,01/10/2014,Guy's Gyros,25.81,L2247,2014-01-10,Food and Beverage
121,01/11/2014,Katerina’s Café,45.21,L9018,2014-01-11,Food and Beverage
122,01/11/2014,Hippokampos,22.23,L6267,2014-01-11,Leisure and Tourism
123,01/11/2014,Kalami Kafenion,35.66,L6417,2014-01-11,Food and Beverage
124,01/11/2014,Shoppers' Delight,238.52,L9018,2014-01-11,Retail and Services
125,01/11/2014,General Grocer,78.02,L8328,2014-01-11,Retail and Services
126,01/11/2014,Katerina’s Café,20.71,L6267,2014-01-11,Food and Beverage
127,01/11/2014,Guy's Gyros,36.2,L2247,2014-01-11,Food and Beverage
128,01/11/2014,Katerina’s Café,25.76,L9406,2014-01-11,Food and Beverage
